edge_id,from_node,to_node,floor,type,length_m,width_m,speed_mult,time_penalty_s,weight
e_wp_f1_0002__wp_f1_0005,wp_f1_0002,wp_f1_0005,1,corridor,11.31,4.0,1.0,0,11.31
e_wp_f1_0002__wp_f1_0003,wp_f1_0002,wp_f1_0003,1,corridor,8.0,4.0,1.0,0,8.0
e_wp_f1_0002__wp_f1_0004,wp_f1_0002,wp_f1_0004,1,corridor,8.0,4.0,1.0,0,8.0
e_wp_f1_0002__wp_f1_0007,wp_f1_0002,wp_f1_0007,1,corridor,16.0,4.0,1.0,0,16.0
e_wp_f1_0003__wp_f1_0005,wp_f1_0003,wp_f1_0005,1,corridor,8.0,4.0,1.0,0,8.0
e_wp_f1_0003__wp_f1_0004,wp_f1_0003,wp_f1_0004,1,corridor,11.31,4.0,1.0,0,11.31
e_wp_f1_0003__wp_f1_0008,wp_f1_0003,wp_f1_0008,1,corridor,16.0,4.0,1.0,0,16.0
e_wp_f1_0004__wp_f1_0005,wp_f1_0004,wp_f1_0005,1,corridor,8.0,4.0,1.0,0,8.0
e_wp_f1_0004__wp_f1_0007,wp_f1_0004,wp_f1_0007,1,corridor,8.0,4.0,1.0,0,8.0
e_wp_f1_0004__wp_f1_0008,wp_f1_0004,wp_f1_0008,1,corridor,11.31,4.0,1.0,0,11.31
e_wp_f1_0004__wp_f1_0013,wp_f1_0004,wp_f1_0013,1,corridor,16.0,4.0,1.0,0,16.0
e_wp_f1_0005__wp_f1_0007,wp_f1_0005,wp_f1_0007,1,corridor,11.31,4.0,1.0,0,11.31
e_wp_f1_0005__wp_f1_0008,wp_f1_0005,wp_f1_0008,1,corridor,8.0,4.0,1.0,0,8.0
e_wp_f1_0005__wp_f1_0014,wp_f1_0005,wp_f1_0014,1,corridor,16.0,4.0,1.0,0,16.0
e_wp_f1_0006__wp_f1_0010,wp_f1_0006,wp_f1_0010,1,corridor,8.0,4.0,1.0,0,8.0
e_wp_f1_0006__wp_f1_0011,wp_f1_0006,wp_f1_0011,1,corridor,11.32,4.0,1.0,0,11.32
e_wp_f1_0007__wp_f1_0008,wp_f1_0007,wp_f1_0008,1,corridor,8.0,4.0,1.0,0,8.0
e_wp_f1_0007__wp_f1_0012,wp_f1_0007,wp_f1_0012,1,corridor,11.32,4.0,1.0,0,11.32
e_wp_f1_0007__wp_f1_0013,wp_f1_0007,wp_f1_0013,1,corridor,8.0,4.0,1.0,0,8.0
e_wp_f1_0007__wp_f1_0014,wp_f1_0007,wp_f1_0014,1,corridor,11.31,4.0,1.0,0,11.31
e_wp_f1_0007__wp_f1_0023,wp_f1_0007,wp_f1_0023,1,corridor,16.0,4.0,1.0,0,16.0
e_wp_f1_0008__wp_f1_0013,wp_f1_0008,wp_f1_0013,1,corridor,11.31,4.0,1.0,0,11.31
e_wp_f1_0008__wp_f1_0014,wp_f1_0008,wp_f1_0014,1,corridor,8.0,4.0,1.0,0,8.0
