node_id,type,lat,lon,floor,name,category,weight,dwell_mean_min,dwell_std_min
wp_f1_0002,waypoint,-36.7291023,174.7086014,1,,waypoint,0.0,0,0
wp_f1_0003,waypoint,-36.729101,174.7086909,1,,waypoint,0.0,0,0
wp_f1_0004,waypoint,-36.7290302,174.7085998,1,,waypoint,0.0,0,0
wp_f1_0005,waypoint,-36.7290289,174.7086893,1,,waypoint,0.0,0,0
wp_f1_0006,waypoint,-36.728962,174.7083295,1,,waypoint,0.0,0,0
wp_f1_0007,waypoint,-36.7289581,174.7085982,1,,waypoint,0.0,0,0
wp_f1_0008,waypoint,-36.7289568,174.7086877,1,,waypoint,0.0,0,0
wp_f1_0010,waypoint,-36.7288899,174.7083279,1,,waypoint,0.0,0,0
wp_f1_0011,waypoint,-36.7288886,174.7084175,1,,waypoint,0.0,0,0
wp_f1_0012,waypoint,-36.7288873,174.708507,1,,waypoint,0.0,0,0
wp_f1_0013,waypoint,-36.728886,174.7085966,1,,waypoint,0.0,0,0
wp_f1_0014,waypoint,-36.7288847,174.7086861,1,,waypoint,0.0,0,0
wp_f1_0015,waypoint,-36.7288834,174.7087757,1,,waypoint,0.0,0,0
wp_f1_0016,waypoint,-36.7288822,174.7088652,1,,waypoint,0.0,0,0
wp_f1_0017,waypoint,-36.7288809,174.7089548,1,,waypoint,0.0,0,0
wp_f1_0019,waypoint,-36.7288191,174.7082368,1,,waypoint,0.0,0,0
wp_f1_0020,waypoint,-36.7288178,174.7083263,1,,waypoint,0.0,0,0
wp_f1_0021,waypoint,-36.7288165,174.7084159,1,,waypoint,0.0,0,0
wp_f1_0022,waypoint,-36.7288152,174.7085054,1,,waypoint,0.0,0,0
wp_f1_0023,waypoint,-36.7288139,174.708595,1,,waypoint,0.0,0,0
wp_f1_0024,waypoint,-36.7288126,174.7086845,1,,waypoint,0.0,0,0
wp_f1_0032,waypoint,-36.7287496,174.7080561,1,,waypoint,0.0,0,0
wp_f1_0033,waypoint,-36.7287483,174.7081456,1,,waypoint,0.0,0,0
wp_f1_0034,waypoint,-36.728747,174.7082352,1,,waypoint,0.0,0,0
wp_f1_0035,waypoint,-36.7287418,174.7085934,1,,waypoint,0.0,0,0
wp_f1_0036,waypoint,-36.7287406,174.7086829,1,,waypoint,0.0,0,0
wp_f1_0040,waypoint,-36.7287251,174.7097576,1,,waypoint,0.0,0,0
wp_f1_0043,waypoint,-36.7286813,174.7077858,1,,waypoint,0.0,0,0
wp_f1_0044,waypoint,-36.7286788,174.7079649,1,,waypoint,0.0,0,0
wp_f1_0045,waypoint,-36.7286775,174.7080545,1,,waypoint,0.0,0,0
wp_f1_0046,waypoint,-36.7286698,174.7085918,1,,waypoint,0.0,0,0
wp_f1_0047,waypoint,-36.7286685,174.7086813,1,,waypoint,0.0,0,0
wp_f1_0048,waypoint,-36.7286543,174.7096664,1,,waypoint,0.0,0,0
wp_f1_0049,waypoint,-36.728653,174.709756,1,,waypoint,0.0,0,0
wp_f1_0050,waypoint,-36.7286517,174.7098455,1,,waypoint,0.0,0,0
wp_f1_0052,waypoint,-36.7286492,174.7100247,1,,waypoint,0.0,0,0
wp_f1_0057,waypoint,-36.7286105,174.7076946,1,,waypoint,0.0,0,0
wp_f1_0058,waypoint,-36.7286092,174.7077842,1,,waypoint,0.0,0,0
wp_f1_0059,waypoint,-36.728608,174.7078738,1,,waypoint,0.0,0,0
wp_f1_0060,waypoint,-36.7285977,174.7085902,1,,waypoint,0.0,0,0
wp_f1_0061,waypoint,-36.7285964,174.7086797,1,,waypoint,0.0,0,0
wp_f1_0062,waypoint,-36.7285951,174.7087693,1,,waypoint,0.0,0,0
wp_f1_0063,waypoint,-36.7285822,174.7096648,1,,waypoint,0.0,0,0
wp_f1_0064,waypoint,-36.7285809,174.7097544,1,,waypoint,0.0,0,0
wp_f1_0070,waypoint,-36.7285436,174.7073348,1,,waypoint,0.0,0,0
wp_f1_0071,waypoint,-36.7285423,174.7074244,1,,waypoint,0.0,0,0
wp_f1_0072,waypoint,-36.728541,174.7075139,1,,waypoint,0.0,0,0
wp_f1_0073,waypoint,-36.7285397,174.7076035,1,,waypoint,0.0,0,0
wp_f1_0074,waypoint,-36.7285384,174.707693,1,,waypoint,0.0,0,0
wp_f1_0075,waypoint,-36.7285372,174.7077826,1,,waypoint,0.0,0,0
wp_f1_0076,waypoint,-36.7285256,174.7085886,1,,waypoint,0.0,0,0
wp_f1_0077,waypoint,-36.7285243,174.7086781,1,,waypoint,0.0,0,0
wp_f1_0078,waypoint,-36.728523,174.7087677,1,,waypoint,0.0,0,0
wp_f1_0079,waypoint,-36.7285217,174.7088573,1,,waypoint,0.0,0,0
wp_f1_0085,waypoint,-36.7284728,174.7072437,1,,waypoint,0.0,0,0
wp_f1_0086,waypoint,-36.7284715,174.7073332,1,,waypoint,0.0,0,0
wp_f1_0087,waypoint,-36.7284702,174.7074228,1,,waypoint,0.0,0,0
wp_f1_0090,waypoint,-36.7284535,174.708587,1,,waypoint,0.0,0,0
wp_f1_0091,waypoint,-36.7284522,174.7086765,1,,waypoint,0.0,0,0
wp_f1_0092,waypoint,-36.7284509,174.7087661,1,,waypoint,0.0,0,0
wp_f1_0093,waypoint,-36.7284496,174.7088557,1,,waypoint,0.0,0,0
wp_f1_0094,waypoint,-36.7284484,174.7089452,1,,waypoint,0.0,0,0
wp_f1_0100,waypoint,-36.7284007,174.7072421,1,,waypoint,0.0,0,0
wp_f1_0101,waypoint,-36.7283994,174.7073316,1,,waypoint,0.0,0,0
wp_f1_0102,waypoint,-36.7283981,174.7074212,1,,waypoint,0.0,0,0
wp_f1_0103,waypoint,-36.7283814,174.7085854,1,,waypoint,0.0,0,0
wp_f1_0104,waypoint,-36.7283801,174.7086749,1,,waypoint,0.0,0,0
wp_f1_0105,waypoint,-36.7283788,174.7087645,1,,waypoint,0.0,0,0
wp_f1_0106,waypoint,-36.7283776,174.7088541,1,,waypoint,0.0,0,0
wp_f1_0111,waypoint,-36.7283093,174.7085838,1,,waypoint,0.0,0,0
wp_f1_0112,waypoint,-36.728308,174.7086734,1,,waypoint,0.0,0,0
wp_f1_0113,waypoint,-36.7283068,174.7087629,1,,waypoint,0.0,0,0
wp_f1_0114,waypoint,-36.7283055,174.7088525,1,,waypoint,0.0,0,0
wp_f1_0115,waypoint,-36.7282372,174.7085822,1,,waypoint,0.0,0,0
wp_f1_0116,waypoint,-36.728236,174.7086718,1,,waypoint,0.0,0,0
wp_f1_0117,waypoint,-36.7282347,174.7087613,1,,waypoint,0.0,0,0
wp_f1_0118,waypoint,-36.7282334,174.7088509,1,,waypoint,0.0,0,0
wp_f1_0119,waypoint,-36.7281652,174.7085806,1,,waypoint,0.0,0,0
wp_f1_0120,waypoint,-36.7281639,174.7086702,1,,waypoint,0.0,0,0
wp_f1_0121,waypoint,-36.7281626,174.7087597,1,,waypoint,0.0,0,0
wp_f1_0122,waypoint,-36.7280931,174.708579,1,,waypoint,0.0,0,0
wp_f1_0123,waypoint,-36.7280918,174.7086686,1,,waypoint,0.0,0,0
wp_f1_0124,waypoint,-36.7280171,174.7088461,1,,waypoint,0.0,0,0
wp_f1_0125,waypoint,-36.7280158,174.7089356,1,,waypoint,0.0,0,0
wp_f1_0126,waypoint,-36.727945,174.7088445,1,,waypoint,0.0,0,0
main_entry,entry,-36.7278799,174.708292,1,Main Entrance (Piggot Way),entry,0.0,2,1
carpark_l1_e,entry,-36.7289816,174.709545,1,Car Park East → L1,entry,0.0,3,1
carpark_l1_w,entry,-36.7288003,174.707615,1,Car Park West → L1,entry,0.0,3,1
farmers_l1,anchor,-36.7287213,174.7099224,1,Farmers (L1),dept,7.0,20,7
jbhifi,anchor,-36.7279162,174.7089434,1,JB Hi-Fi,specialty,4.0,15,5
esc_nw_l1,escalator,-36.7284282,174.7075652,1,NW Escalator (L1),transition,0.0,1,0
esc_ne_l1,escalator,-36.7284853,174.7098156,1,NE Escalator (L1),transition,0.0,1,0
esc_se_l1,escalator,-36.7289745,174.7096042,1,SE Escalator (L1),transition,0.0,1,0
esc_sw_l1,escalator,-36.7288381,174.7077078,1,SW Escalator (L1),transition,0.0,1,0
wp_f2_0000,waypoint,-36.7296307,174.7075487,2,,waypoint,0.0,0,0
wp_f2_0001,waypoint,-36.7295599,174.7074575,2,,waypoint,0.0,0,0
wp_f2_0002,waypoint,-36.7295587,174.7075471,2,,waypoint,0.0,0,0
wp_f2_0003,waypoint,-36.7295574,174.7076366,2,,waypoint,0.0,0,0
wp_f2_0004,waypoint,-36.7294891,174.7073664,2,,waypoint,0.0,0,0
wp_f2_0005,waypoint,-36.7294879,174.7074559,2,,waypoint,0.0,0,0
wp_f2_0006,waypoint,-36.7294866,174.7075455,2,,waypoint,0.0,0,0
wp_f2_0007,waypoint,-36.7294853,174.707635,2,,waypoint,0.0,0,0
wp_f2_0008,waypoint,-36.729484,174.7077246,2,,waypoint,0.0,0,0
wp_f2_0009,waypoint,-36.7294827,174.7078141,2,,waypoint,0.0,0,0
wp_f2_0010,waypoint,-36.7294196,174.7071857,2,,waypoint,0.0,0,0
wp_f2_0011,waypoint,-36.7294183,174.7072752,2,,waypoint,0.0,0,0
wp_f2_0012,waypoint,-36.729417,174.7073648,2,,waypoint,0.0,0,0
wp_f2_0013,waypoint,-36.7294158,174.7074543,2,,waypoint,0.0,0,0
wp_f2_0014,waypoint,-36.7294145,174.7075439,2,,waypoint,0.0,0,0
wp_f2_0015,waypoint,-36.7294132,174.7076334,2,,waypoint,0.0,0,0
wp_f2_0016,waypoint,-36.7294119,174.707723,2,,waypoint,0.0,0,0
wp_f2_0017,waypoint,-36.7294106,174.7078125,2,,waypoint,0.0,0,0
wp_f2_0018,waypoint,-36.7294093,174.7079021,2,,waypoint,0.0,0,0
wp_f2_0019,waypoint,-36.7293501,174.7070049,2,,waypoint,0.0,0,0
wp_f2_0020,waypoint,-36.7293488,174.7070945,2,,waypoint,0.0,0,0
wp_f2_0021,waypoint,-36.7293475,174.7071841,2,,waypoint,0.0,0,0
wp_f2_0022,waypoint,-36.7293462,174.7072736,2,,waypoint,0.0,0,0
wp_f2_0023,waypoint,-36.729345,174.7073632,2,,waypoint,0.0,0,0
wp_f2_0024,waypoint,-36.7293437,174.7074527,2,,waypoint,0.0,0,0
wp_f2_0025,waypoint,-36.7293424,174.7075423,2,,waypoint,0.0,0,0
wp_f2_0026,waypoint,-36.7293411,174.7076318,2,,waypoint,0.0,0,0
wp_f2_0027,waypoint,-36.7293398,174.7077214,2,,waypoint,0.0,0,0
wp_f2_0028,waypoint,-36.7293385,174.7078109,2,,waypoint,0.0,0,0
wp_f2_0029,waypoint,-36.7293373,174.7079005,2,,waypoint,0.0,0,0
