panel_id,site_id,latitude,longitude,orientation,floor
27035,17056,-36.87095661,174.77617666,90,2
27036,17056,-36.87097377,174.77635235,240,2
27037,17056,-36.87098000,174.77705000,105,2
27038,17056,-36.87079353,174.77671713,66,1
27039,17056,-36.87081070,174.77667958,245,1
27040,17056,-36.87080265,174.77552488,108,1
27041,17056,-36.87086005,174.77549270,277,1
27042,17056,-36.87086220,174.77550343,110,1
27043,17056,-36.87080158,174.77551617,286,1
27044,17056,-36.87108321,174.77640733,311,1
27045,17056,-36.87109286,174.77641940,138,1
27046,17056,-36.87137181,174.77676272,146,1
27047,17056,-36.87134391,174.77683380,147,1
27048,17056,-36.87181275,174.77665812,45,1
27049,17056,-36.87182992,174.77663934,220,1
27050,17056,-36.87234489,174.77659911,346,1
27051,17056,-36.87236098,174.77660179,181,1
27052,17056,-36.87072916,174.77696657,35,2
27053,17056,-36.87084824,174.77692500,197,2
27054,17056,-36.87083216,174.77692634,341,2
27055,17056,-36.87164539,174.77659374,15,2
27056,17056,-36.87167543,174.77659106,197,2
27057,17056,-36.87079461,174.77554165,114,2
27058,17056,-36.87079407,174.77553293,285,2
27059,17056,-36.87092710,174.77553226,276,2
27060,17056,-36.87092818,174.77554098,85,2
27061,17056,-36.87103600,174.77615118,105,2
27062,17056,-36.87096090,174.77634430,59,2
27063,17056,-36.87108750,174.77647305,304,2
27064,17056,-36.87113792,174.77642611,304,2
27065,17056,-36.87132138,174.77661788,11,2
27066,17056,-36.87133854,174.77661520,209,2
27067,17056,-36.87069483,174.77690756,41,2
27068,17056,-36.87223331,174.77663934,360,2
27069,17056,-36.87223546,174.77653205,354,2
27070,17056,-36.87249723,174.77664471,209,2
27071,17056,-36.87249294,174.77654278,183,2
27072,17056,-36.87111968,174.77655887,128,3
27073,17056,-36.87119263,174.77650791,120,3
27074,17056,-36.87089224,174.77585346,292,3
27075,17056,-36.87079353,174.77559865,106,3
27076,17056,-36.87078924,174.77556646,288,3
27077,17056,-36.87090940,174.77550745,283,3
27078,17056,-36.87091369,174.77554500,106,3
27079,17056,-36.87101669,174.77608681,313,3
27080,17056,-36.87103815,174.77611095,132,3
27081,17056,-36.87137288,174.77658033,0,3
27082,17056,-36.87140077,174.77658302,178,3
27083,17056,-36.87173765,174.77656960,0,3
27084,17056,-36.87176126,174.77656692,186,3
27085,17056,-36.87216465,174.77662861,1,3
27086,17056,-36.87216894,174.77654278,0,3
27087,17056,-36.87247578,174.77666080,176,3
27088,17056,-36.87247363,174.77654546,183,3
